id,question,expected_keywords,source_file
Q059,根据小米官方资料，请介绍Xiaomi Pad 7。,Xiaomi Pad 7,xiaomi-pad-7-01.md
Q060,Xiaomi Pad 7有哪些核心规格、功能或服务说明？,Xiaomi Pad 7,xiaomi-pad-7-01.md
Q061,根据小米官方资料，请介绍Xiaomi Pad 7。,Xiaomi Pad 7,xiaomi-pad-7-specs-01.md
Q062,Xiaomi Pad 7有哪些核心规格、功能或服务说明？,Xiaomi Pad 7,xiaomi-pad-7-specs-01.md
Q063,根据小米官方资料，请介绍小米手环9。,小米手环9,band-9-01.md
Q064,小米手环9有哪些核心规格、功能或服务说明？,小米手环9,band-9-01.md
Q065,根据小米官方资料，请介绍小米手环9。,小米手环9,band-9-specs-01.md
Q066,小米手环9有哪些核心规格、功能或服务说明？,小米手环9,band-9-specs-01.md
Q067,根据小米官方资料，请介绍小米手环9 NFC。,小米手环9 NFC,band-9-nfc-01.md
Q068,小米手环9 NFC有哪些核心规格、功能或服务说明？,小米手环9 NFC,band-9-nfc-01.md
Q069,根据小米官方资料，请介绍Xiaomi Watch S4。,Xiaomi Watch S4,watch-s4-01.md
Q070,Xiaomi Watch S4有哪些核心规格、功能或服务说明？,Xiaomi Watch S4,watch-s4-01.md
Q071,根据小米官方资料，请介绍Xiaomi Watch S4。,Xiaomi Watch S4,watch-s4-specs-01.md
Q072,Xiaomi Watch S4有哪些核心规格、功能或服务说明？,Xiaomi Watch S4,watch-s4-specs-01.md
Q073,根据小米官方资料，请介绍Xiaomi Watch S4。,Xiaomi Watch S4,watch-s4-esim-01.md
Q074,Xiaomi Watch S4有哪些核心规格、功能或服务说明？,Xiaomi Watch S4,watch-s4-esim-01.md
Q075,根据小米官方资料，请介绍Xiaomi Watch S4。,Xiaomi Watch S4,watch-s4-water-01.md
Q076,Xiaomi Watch S4有哪些核心规格、功能或服务说明？,Xiaomi Watch S4,watch-s4-water-01.md
Q077,根据小米官方资料，请介绍Xiaomi Watch S4。,Xiaomi Watch S4,watch-s4-city-01.md
Q078,Xiaomi Watch S4有哪些核心规格、功能或服务说明？,Xiaomi Watch S4,watch-s4-city-01.md
Q079,根据小米官方资料，请介绍米家扫地机器人。,米家扫地机器人,robot-vacuum-01.md
Q080,米家扫地机器人有哪些核心规格、功能或服务说明？,米家扫地机器人,robot-vacuum-01.md
Q081,根据小米官方资料，请介绍米家扫地机器人。,米家扫地机器人,robot-vacuum-specs-01.md
Q082,米家扫地机器人有哪些核心规格、功能或服务说明？,米家扫地机器人,robot-vacuum-specs-01.md
Q083,根据小米官方资料，请介绍米家扫地机器人。,米家扫地机器人,robot-vacuum-cleaning-01.md
Q084,米家扫地机器人有哪些核心规格、功能或服务说明？,米家扫地机器人,robot-vacuum-cleaning-01.md
Q085,根据小米官方资料，请介绍米家扫地机器人。,米家扫地机器人,robot-vacuum-design-01.md
Q086,米家扫地机器人有哪些核心规格、功能或服务说明？,米家扫地机器人,robot-vacuum-design-01.md
Q087,根据小米官方资料，请介绍米家全能扫拖机器人。,米家全能扫拖机器人,mijia-robot-specs-01.md
Q088,米家全能扫拖机器人有哪些核心规格、功能或服务说明？,米家全能扫拖机器人,mijia-robot-specs-01.md
Q089,根据小米官方资料，请介绍小米空气净化器。,小米空气净化器,air-purifier-01.md
Q090,小米空气净化器有哪些核心规格、功能或服务说明？,小米空气净化器,air-purifier-01.md
Q091,根据小米官方资料，请介绍米家空气净化器 2S。,米家空气净化器 2S,air-purifier-2s-01.md
Q092,米家空气净化器 2S有哪些核心规格、功能或服务说明？,米家空气净化器 2S,air-purifier-2s-01.md
Q093,根据小米官方资料，请介绍米家空气净化器 MAX。,米家空气净化器 MAX,air-purifier-max-01.md
Q094,米家空气净化器 MAX有哪些核心规格、功能或服务说明？,米家空气净化器 MAX,air-purifier-max-01.md
Q095,根据小米官方资料，请介绍米家空气净化器 Pro。,米家空气净化器 Pro,air-purifier-pro-01.md
Q096,米家空气净化器 Pro有哪些核心规格、功能或服务说明？,米家空气净化器 Pro,air-purifier-pro-01.md
Q097,根据小米官方资料，请介绍米家空气净化器 Pro。,米家空气净化器 Pro,air-purifier-pro-tech-01.md
Q098,米家空气净化器 Pro有哪些核心规格、功能或服务说明？,米家空气净化器 Pro,air-purifier-pro-tech-01.md
Q099,根据小米官方资料，请介绍米家空调伴侣。,米家空调伴侣,ac-controller-01.md
Q100,米家空调伴侣有哪些核心规格、功能或服务说明？,米家空调伴侣,ac-controller-01.md
Q101,根据小米官方资料，请介绍米家空调伴侣。,米家空调伴侣,ac-controller-specs-01.md
Q102,米家空调伴侣有哪些核心规格、功能或服务说明？,米家空调伴侣,ac-controller-specs-01.md
Q103,根据小米官方资料，请介绍米家空调。,米家空调,mijia-air-conditioner-01.md
Q104,米家空调有哪些核心规格、功能或服务说明？,米家空调,mijia-air-conditioner-01.md
Q105,根据小米官方资料，请介绍米家空调。,米家空调,mijia-air-conditioner-pro-01.md
Q106,米家空调有哪些核心规格、功能或服务说明？,米家空调,mijia-air-conditioner-pro-01.md
Q107,根据小米官方资料，请介绍Xiaomi全屋路由。,Xiaomi全屋路由,whole-home-router-01.md
Q108,Xiaomi全屋路由有哪些核心规格、功能或服务说明？,Xiaomi全屋路由,whole-home-router-01.md
Q109,根据小米官方资料，请介绍小米电视主机。,小米电视主机,mi-tv-host-01.md
Q110,小米电视主机有哪些核心规格、功能或服务说明？,小米电视主机,mi-tv-host-01.md
Q111,根据小米官方资料，请介绍小米电视4 49英寸。,小米电视4 49英寸,mi-tv-4-49-01.md
Q112,小米电视4 49英寸有哪些核心规格、功能或服务说明？,小米电视4 49英寸,mi-tv-4-49-01.md
Q113,根据小米官方资料，请介绍小米电视2 55英寸。,小米电视2 55英寸,mi-tv-2-55-01.md
Q114,小米电视2 55英寸有哪些核心规格、功能或服务说明？,小米电视2 55英寸,mi-tv-2-55-01.md
