"所属EPIC","Story名称","描述"
"EP04｜业务工具与工单","查询Mock订单和物流","用户故事：作为测试用户，我希望查询模拟订单状态，以便演示客服机器人的工具调用能力。
功能描述：通过白名单 Mock 工具读取测试订单，返回商品、支付状态、发货状态和物流节点。
验收标准：1. 仅返回当前测试用户的模拟订单；2. 页面明确标识 Mock 数据；3. 不存在的订单返回友好提示；4. 不收集或展示真实个人信息。"
"EP04｜业务工具与工单","触发人工转接","用户故事：作为小米用户，我希望机器人无法解决问题时建议转人工，以便继续获得帮助。
功能描述：用户主动要求、连续两次兜底或命中高风险关键词时触发人工转接流程。
验收标准：1. “转人工”意图立即触发；2. 连续两次兜底自动触发建议；3. 触发原因写入日志；4. 用户拒绝后可继续机器人对话。"
"EP04｜业务工具与工单","根据会话创建结构化工单","用户故事：作为客服人员，我希望系统自动生成工单，以便快速了解并接手用户问题。
功能描述：从会话提取问题分类、产品型号、问题摘要、已尝试方案、优先级和对话记录。
验收标准：1. 工单字段完整；2. 工单关联 conversation_id；3. 可在后台查看；4. 创建失败时不丢失原会话并允许重试。"
"EP05｜运营权限与安全","记录和查询对话日志","用户故事：作为管理员，我希望查询对话日志，以便分析问题并排查异常。
功能描述：记录问题、答案、耗时、来源、检索参数、用户标识和时间，支持按时间和关键词筛选。
验收标准：1. 每次问答生成一条完整日志；2. 可按时间、关键词筛选；3. 日志详情可查看来源；4. 普通用户不能访问后台日志。"
"EP05｜运营权限与安全","收集回答评价和修正","用户故事：作为小米用户，我希望对回答进行赞、踩和纠正，以便帮助系统改进。
功能描述：提供 /chat/feedback 接口和前端反馈入口，数据关联 conversation_id 与 message_id。
验收标准：1. 赞、踩均可提交；2. 可填写可选纠正内容；3. 重复评价按规则更新或阻止；4. 管理员可筛选差评记录。"
"EP05｜运营权限与安全","实现用户登录和角色权限","用户故事：作为管理员，我希望不同角色只能访问授权功能，以便保护知识和日志数据。
功能描述：至少提供管理员、知识运营人员和普通用户三种角色，并在后端接口执行权限校验。
验收标准：1. 密码以哈希方式保存；2. 未登录请求被拒绝；3. 普通用户不能管理知识库；4. 前端隐藏与后端校验同时生效。"
"EP05｜运营权限与安全","安全管理模型密钥和配置","用户故事：作为管理员，我希望安全保存模型密钥，以免敏感配置泄露。
功能描述：模型密钥通过环境变量或本地密钥文件注入，不进入数据库、日志和 Git 仓库。
验收标准：1. 源代码中无明文密钥；2. 日志不打印完整密钥；3. 缺少密钥时应用给出明确启动错误；4. 提供 .env.example 但不含真实值。"
"EP05｜运营权限与安全","过滤敏感内容和限制输入","用户故事：作为平台管理员，我希望过滤敏感内容和异常输入，以便降低安全与合规风险。
功能描述：限制输入长度和文件大小，提供可配置敏感词过滤，并拒绝危险文件类型。
验收标准：1. 超长输入被拒绝；2. 敏感词按配置替换或拦截；3. 可执行文件不能上传；4. 拦截事件写入审计日志。"
"EP06｜测试部署与文档","建立标准问答回归测试集","用户故事：作为测试人员，我希望运行标准问答集，以便量化 RAG 调整前后的质量。
功能描述：建立不少于 30 条产品问题，记录期望知识点、实际答案、来源和通过状态。
验收标准：1. 测试集不少于 30 条；2. 支持一键或脚本执行；3. 输出正确率和失败明细；4. 核心问题正确率不低于 80%。"
"EP06｜测试部署与文档","完成核心接口和功能测试","用户故事：作为测试人员，我希望验证核心功能和异常分支，以便确保演示版本稳定。
功能描述：覆盖知识库、上传、问答、引用、会话、反馈、权限和 Mock 工具的正常及异常用例。
验收标准：1. 核心流程测试用例不少于 15 条；2. 阻断级缺陷全部关闭；3. 测试结果可追溯到 Jira Story；4. 输出测试总结报告。"
"EP06｜测试部署与文档","使用Docker Compose部署MVP","用户故事：作为项目验收人员，我希望通过统一命令启动系统，以便快速安装和演示。
功能描述：提供前端、后端服务的 Dockerfile 和 docker-compose.yml，并挂载数据库及向量数据目录。
验收标准：1. 全新环境按 README 可启动；2. 前后端可正常访问；3. 数据重启后仍保留；4. 密钥通过环境变量注入。"
"EP06｜测试部署与文档","完善README和API文档","用户故事：作为开发者和验收人员，我希望获得完整的启动与接口说明，以便独立运行和验证项目。
功能描述：README 包含环境要求、配置、启动、测试和常见问题；FastAPI 自动生成 Swagger/OpenAPI。
验收标准：1. README 步骤可由其他成员独立执行；2. 核心接口在 Swagger 中可见；3. 请求和响应示例完整；4. 数据库初始化步骤明确。"
"EP06｜测试部署与文档","完成Jira Sprint报告与交付归档","用户故事：作为项目负责人，我希望形成完整的 Jira 和文档证据，以便完成课程验收与答辩。
功能描述：维护 Story 状态、验收结果、缺陷和版本，Sprint 结束后导出 Sprint Report、燃尽图和 Epic 进度。
验收标准：1. 每个核心 Story 有验收标准；2. 已完成事项进入 Done；3. Sprint Report 和燃尽图可生成；4. 源码、SQL、测试报告、总结和 PPT 完整归档。"
